Título                          | Autor
--------------------------------------------------
La tregua                       | Mario Benedetti
Gracias por el fuego            | Mario Benedetti
Juan de los caminos             | Eduardo Galeano
Las venas abiertas de América Latina | Eduardo Galeano
El viaje hacia el mar           | Juan José Morosoli
Los días de nuestra vida        | Juan José Morosoli
La cara de la injusticia        | Juana de Ibarbourou
La rosa de los vientos          | Juana de Ibarbourou
El pozo                          | Juan Carlos Onetti
La vida breve                   | Juan Carlos Onetti
